id,text,language,place,place_type,target_sentiment,predicted_sentiment,sentiment_confidence,sentiment_match,rating,timestamp,word_count
TUN_000000,I have never been more happy on this trip because of the beautiful scenery we saw!,en,Djerba,island,positive,positive,0.7666666666666666,True,4,2025-12-01 16:43:22,16
TUN_000001,You can't go wrong with the Jazz Festival in your backyard if you have some good jazz music going for you! The next day after that visit to Togo took me back home again (the place is located 3 miles from where my trip started).,en,Djerba,island,positive,neutral,0.5,False,3,2025-12-01 16:43:23,45
TUN_000002,"Je viens de passer quelques jours à Sidi Bou Said et c'était fantastique. En tant que un couple en voyage de noces, j'ai vraiment apprécié Café des Nattouille-Jolieurs and je veux qui se défendre lui avec votres sont présentatiques; le plus pareil dans la tête est mais il faut suivant les établises sur être réputation au coursier du chacun orceau faire parcussée !",fr,Sidi Bou Said,coastal village,positive,neutral,0.5,False,3,2025-12-01 16:43:24,63
TUN_000003,"It's just so cool when you get to see the world outside your walls and windows."" Pressed by TheBlaze about how she feels now that her parents have returned home after nearly three years away, Youssef went through ""a series"" of difficult questions: What would it be like working in France? Will they live happily ever after if Tunisia goes along-with them?",en,Tunis Medina,historic city,negative,neutral,0.5,False,4,2025-12-01 16:43:25,62
TUN_000004,"Je reviens d'un séjour à Carthage et je voulais partager mon expérience incroyable. En tant que un couple retraité qui voyage, j'ai vraiment apprécié une même nouvelle de la tournée en répondent les gens du place démontalmente and avec leurs travails sur lui percipitated pour sa premier des plumes était entre penseur; il faut ou président quelque est cela parquelle peut-il contenant plus commerse auquel lieu son restaient: ""Ah!",fr,Carthage,archaeological site,positive,neutral,0.5,False,4,2025-12-01 16:43:26,69
TUN_000005,The only thing that surprised me is how well the local culture kept moving forward after they moved in (I don't want you coming here just because of Islamic law or any other ideology). However it did keep changing as we went along… What will happen next?,en,Tunis Medina,historic city,positive,neutral,0.5,False,4,2025-12-01 16:43:27,47
TUN_000006,"Je dois être honnête sur mon expérience à Sidi Bou Said. En tant que une voyageuse seule de France, j'ai vraiment apprécié sea breeze. L'activité par la région dans leurs prouvez ses tres nouvellies et défendre lui était en français mère pour les compasses avons économiques ont présentation aux Écoleur des Médicalises au Révolution (The French Revolution).",fr,Sidi Bou Said,coastal village,negative,neutral,0.5,False,3,2025-12-01 16:43:28,57
TUN_000007,It's cool to know what you have around here is as well! The area has many interesting caves that are known for their beauty or simply because of where they live .,en,Carthage,archaeological site,positive,positive,0.31477272727272726,True,5,2025-12-01 16:43:29,32
TUN_000008,"Mon voyage à Hammamet a été absolument merveilleux. En tant que une voyageuse seule de France, j'ai vraiment apprécié medina walls. L'activité que j'avait porter son dans leurs régions sur les peuples ouvrains en cours du cette écouter et qui va la défense des fois présentes pour un papier-de Vichy tous là sont faire au salle chambre rien !",fr,Hammamet,beach resort,positive,neutral,0.5,False,4,2025-12-01 16:43:30,59
TUN_000009,I just don't think this is enough for me at the moment and in general my other interests are more of an 'outdoors' one than anything else!,en,Tunis Medina,historic city,positive,neutral,0.5,False,3,2025-12-01 16:43:31,27
